train_loss,step,epoch,val_loss
2.1224491596221924,49,0,
1.9821628332138062,99,0,
1.9291068315505981,149,0,
1.72391939163208,199,0,
1.6592923402786255,249,0,
1.5861268043518066,299,0,
1.4014604091644287,349,0,
1.3771542310714722,399,0,
1.3954280614852905,449,0,
,468,0,1.1211938858032227
1.1924456357955933,499,1,
1.1803778409957886,549,1,
1.3178608417510986,599,1,
1.2202845811843872,649,1,
1.0691955089569092,699,1,
1.1091022491455078,749,1,
1.1889296770095825,799,1,
1.085718035697937,849,1,
0.9898969531059265,899,1,
,937,1,0.779733419418335
1.0612035989761353,949,2,
0.883007824420929,999,2,
1.155073642730713,1049,2,
1.098108172416687,1099,2,
0.9898097515106201,1149,2,
0.9891175627708435,1199,2,
0.9394460320472717,1249,2,
1.1467405557632446,1299,2,
0.9935933947563171,1349,2,
0.6555806398391724,1399,2,
,1406,2,0.6310157179832458
1.018682837486267,1449,3,
1.0156387090682983,1499,3,
0.8794453144073486,1549,3,
0.9575681686401367,1599,3,
1.0761826038360596,1649,3,
1.191292643547058,1699,3,
0.9713294506072998,1749,3,
0.928280234336853,1799,3,
0.8867937326431274,1849,3,
,1875,3,0.544165849685669
0.6577264666557312,1899,4,
1.0498303174972534,1949,4,
0.9819456934928894,1999,4,
0.9276204109191895,2049,4,
0.808440089225769,2099,4,
0.8813732862472534,2149,4,
0.9221982955932617,2199,4,
0.871252715587616,2249,4,
0.7221330404281616,2299,4,
,2344,4,0.5107043981552124
