epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.4765625,1.5190283060073853,,
0,99,0.625,1.1482614278793335,,
0,149,0.6796875,1.0398824214935303,,
0,199,0.7421875,0.9208575487136841,,
0,249,0.71875,0.8188259601593018,,
0,299,0.6796875,0.8081887364387512,,
0,349,0.75,0.6545929312705994,,
0,399,0.75,0.7459293603897095,,
0,421,,,0.9459999799728394,0.22594140470027924
1,449,0.8046875,0.5763179659843445,,
1,499,0.828125,0.5106428861618042,,
1,549,0.703125,0.6849656105041504,,
1,599,0.8359375,0.6062520146369934,,
1,649,0.7890625,0.6622342467308044,,
1,699,0.8125,0.5515462756156921,,
1,749,0.7890625,0.5871922373771667,,
1,799,0.875,0.5525642037391663,,
1,843,,,0.9623333215713501,0.14104928076267242
2,849,0.8046875,0.5430589914321899,,
2,899,0.8359375,0.48295050859451294,,
2,949,0.8515625,0.46350380778312683,,
2,999,0.7890625,0.6230263113975525,,
