epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5546875,1.3371678590774536,,
0,99,0.7734375,0.7908095121383667,,
0,149,0.828125,0.5459645390510559,,
0,199,0.7578125,0.650669276714325,,
0,249,0.796875,0.5320890545845032,,
0,299,0.7265625,0.633255660533905,,
0,349,0.84375,0.5092912316322327,,
0,399,0.8359375,0.45907625555992126,,
0,421,,,0.9643333554267883,0.14053696393966675
1,449,0.8671875,0.4053511619567871,,
1,499,0.8515625,0.4404693841934204,,
1,549,0.8984375,0.30008822679519653,,
1,599,0.875,0.43028339743614197,,
1,649,0.7734375,0.6142095327377319,,
1,699,0.828125,0.42727363109588623,,
1,749,0.890625,0.29220134019851685,,
1,799,0.875,0.4900849461555481,,
1,843,,,0.9758333563804626,0.09088549762964249
